SKU,Title,Category,Printify_Category,Colors,Sizes,Price_CAD,Cost_CAD,Margin_Percent,Motif_Source,Collection
UT-TSHIRT-01,Geometric Lion & Sun Heavyweight Tee,T-Shirts,Men's Clothing -> T-Shirts,"Warm Ivory, Ink Black, Lapis Blue","S, M, L, XL, 2XL",48.00,14.50,69.8%,Zand dynasty Lion and Sun,Roots
UT-TSHIRT-02,Cyrus Cuneiform Charter Graphic Tee,T-Shirts,Men's Clothing -> T-Shirts,"Warm Ivory, White, Lapis Blue","S, M, L, XL, 2XL",45.00,13.00,71.1%,Cyrus Cylinder 539 BCE,Words
UT-TSHIRT-03,Persepolis Twin Bull Capital Tee,T-Shirts,Men's Clothing -> T-Shirts,"Ink Black, Warm Ivory","S, M, L, XL, 2XL",48.00,14.00,70.8%,Apadana Palace Persepolis,Roots
UT-SWEAT-01,Simorgh Geometric Feather Crewneck,Sweatshirts,Women's Clothing -> Sweatshirts,"Warm Ivory, Cream","S, M, L, XL",85.00,26.00,69.4%,Shahnameh Simorgh Mythology,Roots
UT-SWEAT-02,Chahar-Bagh Garden Blueprint Sweatshirt,Sweatshirts,Women's Clothing -> Sweatshirts,"Cypress Green, Cream","S, M, L, XL",82.00,24.50,70.1%,Pasargadae Persian Garden,Roots
UT-SWEAT-03,Ferdowsi Wisdom Verse Sweatshirt,Sweatshirts,Women's Clothing -> Sweatshirts,"Warm Ivory, Lapis Blue","S, M, L, XL",80.00,24.00,70.0%,Ferdowsi Shahnameh Poetry,Words
UT-MUG-01,Apadana Procession Wrap Ceramic Mug,Mugs,Home & Living -> Mugs,"Ink Black, Gold","15 oz",35.00,7.50,78.6%,Apadana Eastern Staircase,Roots
UT-MUG-02,Nowruz Goldfish Mosaic Mug,Mugs,Home & Living -> Mugs,"Warm Ivory, Turquoise","11 oz",32.00,6.80,78.8%,Nowruz Haft-Seen Goldfish,Rituals
UT-MUG-03,Khayyam Quatrain Bilingual Mug,Mugs,Home & Living -> Mugs,"Warm Ivory, Pomegranate Red","15 oz",34.00,7.20,78.8%,Rubaiyat of Omar Khayyam,Words
UT-HOODIE-01,Faravahar Geometric Reconstruction Hoodie,Hoodies,Men's Clothing -> Hoodies,"Ink Black, Gold","S, M, L, XL, 2XL",92.00,29.00,68.5%,Achaemenid Royal Symbol,Roots
UT-HOODIE-02,Azargoshasb Eternal Flame Heavy Hoodie,Hoodies,Men's Clothing -> Hoodies,"Charcoal Grey, Gold","S, M, L, XL, 2XL",88.00,27.50,68.8%,Takht-e Soleyman Fire Temple,Rituals
UT-HOODIE-03,Made in Persia Statement Hoodie,Hoodies,Men's Clothing -> Hoodies,"Lapis Blue, Warm Ivory","S, M, L, XL, 2XL",85.00,26.00,69.4%,Achaemenid Architecture,Roots
UT-KIDS-01,Friendly Simorgh Kids Play Tee,Kids Clothing,Kids Clothing -> T-Shirts,"Warm Ivory, Gold","2T, 3T, 4T, 5T, YS, YM",38.00,10.00,73.7%,Simorgh Mythological Bird,Rituals
UT-KIDS-02,Alef — First Letter Kids Tee,Kids Clothing,Kids Clothing -> T-Shirts,"Warm Ivory, Lapis Blue","2T, 3T, 4T, 5T, YS, YM",35.00,9.50,72.9%,Persian Literacy & Alphabet,Words
UT-KIDS-03,Haft-Seen Seven Symbols Kids Hoodie,Kids Clothing,Kids Clothing -> Hoodies,"Warm Ivory, Multi","2T, 3T, 4T, 5T, YS, YM",48.00,15.00,68.8%,Nowruz Haft-Seen Traditions,Rituals
UT-STICKER-01,Persian Heritage Geometric Sticker Pack (Set of 6),Stickers,Home & Living -> Stickers,"Multi","3-inch Circle Pack",24.00,4.00,83.3%,Persian Ancient Motifs,Roots
UT-STICKER-02,Cyrus Human Rights Charter Vinyl Sticker,Stickers,Home & Living -> Stickers,"Lapis Blue, Gold","4x2.5 inch",12.00,2.00,83.3%,Cyrus Cylinder Decree,Words
UT-STICKER-03,Minimalist Lion & Sun Circle Sticker,Stickers,Home & Living -> Stickers,"Pomegranate Red, Gold","3-inch Circle",10.00,1.80,82.0%,Zand Lion & Sun Emblem,Roots
UT-PHONE-01,Persepolis Stepped Diamond Tough Phone Case,Phone Cases,Accessories -> Phone Cases,"Lapis Blue, Gold","iPhone 15/14/13, Galaxy S24/S23",42.00,11.00,73.8%,Persepolis Stone Reliefs,Roots
UT-PHONE-02,Persian Garden Aerial Plan Slim Case,Phone Cases,Accessories -> Phone Cases,"Cypress Green, Turquoise","iPhone 15/14/13, Galaxy S24/S23",38.00,10.00,73.7%,Pasargadae Garden Blueprint,Roots
UT-PHONE-03,Hafez Classical Verse Typographic Case,Phone Cases,Accessories -> Phone Cases,"Ink Black, Warm Ivory","iPhone 15/14/13, Galaxy S24/S23",40.00,10.50,73.8%,Ghazal of Hafez Shirazi,Words
UT-POSTER-01,The Cyrus Charter Data Art Poster (18x24"),Posters,Home & Living -> Posters,"Warm Ivory, Lapis Blue","18x24 inches",52.00,12.00,76.9%,Cyrus Cylinder Inscription,Words
UT-POSTER-02,Persepolis Blueprint Architectural Art Print,Posters,Home & Living -> Posters,"Warm Ivory, Lapis Blue, Gold","18x24 inches, 24x36 inches",58.00,14.00,75.9%,Persepolis Palace Blueprint,Roots
UT-POSTER-03,Persian Alphabet Bauhaus Grid Poster,Posters,Home & Living -> Posters,"Warm Ivory, Ink Black","24x36 inches",65.00,15.00,76.9%,Persian Calligraphy & Bauhaus,Words
UT-CANDLE-01,Yalda Night Pomegranate & Sandalwood Soy Candle,Candles,Home & Living -> Home Decor,"Amber Glass, Red","9 oz Soy Jar",38.00,9.00,76.3%,Yalda Solstice Solstice,Rituals
UT-CANDLE-02,Nowruz Fire Saffron & Cedar Soy Candle,Candles,Home & Living -> Home Decor,"Black Glass, Gold","9 oz Soy Jar",40.00,9.50,76.3%,Chaharshanbe Suri Fire,Rituals
UT-CANDLE-03,Persian Garden Rose & Jasmine Soy Candle,Candles,Home & Living -> Home Decor,"White Frost, Green","9 oz Soy Jar",38.00,9.00,76.3%,Golestan Rose Gardens,Rituals
UT-BAG-01,Simorgh Flying Heavyweight Canvas Tote Bag,Bags,Accessories -> Bags,"Natural Canvas, Lapis Blue","15x16 inches",38.00,9.50,75.0%,Simorgh Mythology,Roots
UT-BAG-02,Zan Zendegi Azadi Typographic Statement Tote,Bags,Accessories -> Bags,"Natural Canvas, Red","15x16 inches",35.00,9.00,74.3%,Cyrus Human Rights Values,Words
UT-BAG-03,Sassanid Geometric Mosaic All-Over Canvas Bag,Bags,Accessories -> Bags,"Ivory Canvas, Gold","15x16 inches",42.00,10.50,75.0%,Sassanid Bishapur Mosaic,Roots
